id,title,company,category,salary_estimate,normalized_skills,seniority,posted_date
1,Backend Engineer,Acme Corp,backend,85000,"[\"python\",\"django\",\"postgresql\"]",senior,2026-04-01
2,Frontend Engineer,WebWorks,frontend,65000,"[\"javascript\",\"react\",\"css\"]",mid,2026-04-03
3,DevOps Engineer,InfraOps,devops,90000,"[\"aws\",\"docker\",\"kubernetes\"]",senior,2026-03-25
4,Mobile Developer,AppLabs,mobile,70000,"[\"kotlin\",\"android\",\"rest\"]",mid,2026-04-05
5,QA Engineer,QualityFirst,qa,50000,"[\"pytest\",\"selenium\"]",junior,2026-03-20
6,Fullstack Engineer,BuildIt,backend,78000,"[\"nodejs\",\"react\",\"mongodb\"]",mid,2026-03-30
7,Site Reliability,CloudNine,devops,95000,"[\"gcp\",\"terraform\",\"ansible\"]",senior,2026-02-28
8,Frontend Lead,DesignHub,frontend,85000,"[\"typescript\",\"vue\",\"css\"]",lead,2026-04-02
9,Backend Developer,DataStream,backend,72000,"[\"java\",\"spring\",\"mysql\"]",mid,2026-03-18
10,Product Manager,Prodify,management,110000,"[\"communication\",\"roadmapping\"]",manager,2026-03-10
11,Mobile Engineer,SwiftApps,mobile,80000,"[\"swift\",\"ios\"]",mid,2026-04-06
12,Data Engineer,DataWorks,backend,90000,"[\"python\",\"spark\",\"hadoop\"]",senior,2026-02-15
13,QA Automation,TestFlow,qa,55000,"[\"selenium\",\"java\"]",mid,2026-03-22
14,DevOps SRE,ScaleOps,devops,92000,"[\"docker\",\"kubernetes\",\"helm\"]",senior,2026-03-12
15,Frontend Developer,PixelPush,frontend,62000,"[\"javascript\",\"react\"]",junior,2026-04-07
16,Backend Architect,CoreTech,backend,130000,"[\"go\",\"microservices\"]",lead,2026-01-30
17,Cloud Engineer,SkyNet,devops,98000,"[\"aws\",\"terraform\",\"cloudformation\"]",senior,2026-03-05
18,Mobile QA,AppTest,mobile,48000,"[\"appium\",\"testing\"]",junior,2026-04-04
19,Fullstack Junior,StartUp,other,42000,"[\"javascript\",\"nodejs\"]",junior,2026-04-08
20,Systems Engineer,NetCore,backend,86000,"[\"c++\",\"linux\",\"networking\"]",senior,2026-02-20
21,Platform Engineer,InfraTech,devops,93000,"[\"docker\",\"kubernetes\",\"monitoring\"]",mid,2026-03-01
22,Frontend Intern,DesignLab,frontend,30000,"[\"html\",\"css\",\"javascript\"]",junior,2026-04-09
23,QA Lead,QualityLead,qa,78000,"[\"testplan\",\"automation\"]",lead,2026-02-25
24,Mobile Architect,AppMasters,mobile,120000,"[\"flutter\",\"dart\"]",lead,2026-01-15
25,Backend Intern,Acme Corp,backend,32000,"[\"python\",\"sql\"]",junior,2026-04-10
26,DevOps Intern,CloudStart,devops,34000,"[\"docker\",\"ci/cd\"]",junior,2026-04-11
27,Research Engineer,DeepTech,other,115000,"[\"python\",\"ml\",\"pytorch\"]",senior,2026-02-01
28,Site Reliability Junior,OpsNow,devops,56000,"[\"bash\",\"monitoring\"]",junior,2026-04-12
